,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Feb 2026,Jun 2026,Avg AI weight,Avg HHI,Avg Turnover
"Markowitz, 20% cap",0.0803,0.0709,0.8505,-0.1762,0.0195,-0.0437,0.2531,0.1593,0.1279
"Black-Litterman, 20% cap",0.0674,0.0981,0.4827,-0.201,0.0062,-0.0006,0.0,0.1607,0.0489
"Markowitz, 30% cap",0.0767,0.0711,0.7971,-0.1723,0.0236,-0.0457,0.2453,0.1845,0.1474
"Black-Litterman, 30% cap",0.0765,0.116,0.487,-0.2124,0.0055,-0.0007,0.0,0.1946,0.0679
"Markowitz, uncapped",0.0728,0.0686,0.7694,-0.1723,0.0202,-0.0378,0.2385,0.214,0.1515
"Black-Litterman, uncapped",0.0764,0.1224,0.4606,-0.2124,0.0055,-0.0007,0.0,0.2155,0.0743
