,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Feb 2026,Jun 2026,Avg AI weight,Avg HHI,Avg Turnover
"Markowitz, monthly",0.0767,0.0711,0.7971,-0.1723,0.0236,-0.0457,0.2453,0.1845,0.1474
"Michaud, monthly",0.069,0.0644,0.7609,-0.1695,0.0229,-0.039,0.1979,0.1231,0.1409
"Black-Litterman, monthly",0.0765,0.116,0.487,-0.2124,0.0055,-0.0007,0.0,0.1946,0.0679
"Markowitz, quarterly",0.0787,0.0733,0.8,-0.1849,0.0236,-0.0472,0.2453,0.1847,0.2484
"Michaud, quarterly",0.0696,0.0658,0.7541,-0.1752,0.0226,-0.0416,0.1972,0.124,0.1745
"Black-Litterman, quarterly",0.0776,0.1149,0.5017,-0.2182,0.0055,0.0016,0.0,0.1948,0.1224
