,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Feb 2026,Jun 2026,Avg AI weight,Avg HHI,Avg Turnover
"Markowitz, sample",0.0516,0.0406,0.7782,-0.0919,0.0183,-0.034,0.1032,0.2388,0.0975
"Michaud, sample",0.0506,0.0416,0.7371,-0.0964,0.019,-0.032,0.1134,0.203,0.0904
"Markowitz, lw",0.0767,0.0711,0.7971,-0.1723,0.0236,-0.0457,0.2453,0.1845,0.1474
"Michaud, lw",0.069,0.0644,0.7609,-0.1695,0.0229,-0.039,0.1979,0.1231,0.1409
