,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Feb 2026,Jun 2026,Avg AI weight,Avg HHI,Avg Turnover
"Markowitz, 36m",0.0538,0.0803,0.3704,-0.2339,0.0189,-0.0399,0.2221,0.1892,0.2234
"Michaud, 36m",0.0556,0.0689,0.457,-0.1892,0.0179,-0.0341,0.168,0.1253,0.1522
"Black-Litterman, 36m",0.07,0.1189,0.3864,-0.2003,0.0012,0.0025,0.0001,0.1933,0.0907
"Markowitz, 60m",0.0783,0.0726,0.7469,-0.1723,0.0236,-0.0457,0.2489,0.1803,0.1493
"Michaud, 60m",0.0703,0.0671,0.6889,-0.1707,0.0224,-0.0397,0.1983,0.127,0.1325
"Black-Litterman, 60m",0.0786,0.1228,0.4432,-0.2124,0.0055,-0.0007,0.0,0.196,0.0659
"Markowitz, 84m",0.082,0.0734,0.7897,-0.1736,0.0214,-0.0281,0.2369,0.193,0.1098
"Michaud, 84m",0.0761,0.0708,0.7342,-0.1736,0.0227,-0.0288,0.2079,0.1356,0.1203
"Black-Litterman, 84m",0.0808,0.1237,0.4588,-0.2101,0.0087,-0.0025,0.0,0.1967,0.0556
